 AST_invest_democracy:0 "Invest in Democracy"
 AST_invest_democracy_desc:0 "By investing in the sovereignty of our parliamentary and judicial system we can show the world how succesful and open our great nation has become in these dark times. People want to come and live in Australia which is securing future growth and thus stabilizing our finances."
 AST_develop_papua_2:0 "Promise Papuan Independence"
 AST_develop_papua_2_desc:0 ""
 AST_develop_papua_2_tt:0 "Five §Redit locked§! Papuan local militia will spawn at the port locations on their home island."
 AST_digin_darwin:0 "Fort Darwin"
 AST_digin_darwin_desc:0 "Due to its strategic position in northern Australia, the Royal Australian Navy and Air Force have constructed bases near the town, we need to protect them!"
 AST_develop_papua:0 "Develope Papua"
 AST_develop_papua_desc:0 ""
 AST_aid_malaya:0 "Malayan Defensive Strategy"
 AST_aid_malaya_desc:0 "We need to send help and prepare Malaya for things to come."
 
 SAF_lights:0 "Light Tank Prototype"
 SAF_lights_desc:0 ""
 SAF_training:0 "Expansion of Training"
 SAF_training_desc:0 ""
 
 FRA_avant_chars:0 "L'Avant Chars!"
 FRA_avant_chars_desc:0 "No B1, No!"
 
 SOV_fareast:0 "Far Eastern Emergency Units"
 SOV_fareast_desc:0 "During a threat of a Japanese attack we must always be ready for an eventuality of needing additional forces against the Japanese."
 SOV_JAP_war:0 "Create Emergency Eastern Units"
 JAP_war_soviets:0 "Northern Expansion!"
 SOV_destroysiberia2:0 "Blow up the Siberian Railway"
 SOV_destroysiberia:0 "Emergency Bombs"
 SOV_destroysiberia_desc:0 "In case of a Japanese attack we may see the possibility of blowing up our railway in the East to limit any Japanese advance."
 SOV_patriotic:0 "War on Two Fronts"
 SOV_japan_units:0 "You will get divisions on the §YFar Eastern Border§W"

 SOV_rebuild_iran:0 "Rebuild Persian Bases"
 SOV_rebuild_iran_desc:0 "Our newly acquired bases in the Persian Gulf are strategically very important but the war has left them and the surroundings in shambles, we need to setup the bases again!"
 
 SOV_afganistan:0 "Oriental Security"
